Date;TransactionID_count;TransactionID_nunique;CustomerID_count;CustomerID_nunique;ProductID_count;ProductID_nunique;Age_mean;Age_std;Age_min;Age_max;Income_mean;Income_std;StoreID_count;StoreID_nunique;Qty_sum;Qty_mean;TotalAmount_sum;TotalAmount_mean;TotalAmount_std;Price_x_mean;Price_x_std;ProductID_P1;ProductID_P10;ProductID_P2;ProductID_P3;ProductID_P4;ProductID_P5;ProductID_P6;ProductID_P7;ProductID_P8;ProductID_P9;Age_0;Age_2;Age_3;Age_18;Age_19;Age_20;Age_21;Age_22;Age_23;Age_24;Age_25;Age_26;Age_27;Age_28;Age_29;Age_30;Age_31;Age_32;Age_33;Age_34;Age_35;Age_36;Age_37;Age_38;Age_39;Age_40;Age_41;Age_42;Age_43;Age_44;Age_45;Age_46;Age_47;Age_48;Age_49;Age_50;Age_51;Age_52;Age_53;Age_54;Age_55;Age_56;Age_57;Age_58;Age_59;Age_60;Age_61;Age_62;Age_65;Age_66;Age_68;Age_69;Age_70;Age_72;StoreID_1;StoreID_2;StoreID_3;StoreID_4;StoreID_5;StoreID_6;StoreID_7;StoreID_8;StoreID_9;StoreID_10;StoreID_11;StoreID_12;StoreID_13;StoreID_14;StoreName_Bonafid;StoreName_Buana;StoreName_Buana Indah;StoreName_Gita Ginara;StoreName_Harapan Baru;StoreName_Lingga;StoreName_Prestasi Utama;StoreName_Priangan;StoreName_Prima Kelapa Dua;StoreName_Prima Kota;StoreName_Prima Tendean;StoreName_Sinar Harapan;GroupStore_Buana;GroupStore_Gita;GroupStore_Harapan Baru;GroupStore_Lingga;GroupStore_Prestasi;GroupStore_Priangan;GroupStore_Prima;Type_General Trade;Type_Modern Trade;Latitude_-1,26916;Latitude_-2,990934;Latitude_-3,654703;Latitude_-5,135399;Latitude_-5,45;Latitude_-6,2;Latitude_-6,914864;Latitude_-6,966667;Latitude_-7,250445;Latitude_-7,797068;Latitude_0,533505;Latitude_3,316694;Latitude_3,597031;Latitude_5,54829;Longitude_101,447403;Longitude_104,756554;Longitude_105,26667;Longitude_106,816666;Longitude_107,608238;Longitude_110,370529;Longitude_110,416664;Longitude_112,768845;Longitude_114,590111;Longitude_116,825264;Longitude_119,42379;Longitude_128,190643;Longitude_95,323753;Longitude_98,678513;Marital Status_Married;Marital Status_Single;Gender_0;Gender_1;Product Name_Cashew;Product Name_Cheese Stick;Product Name_Choco Bar;Product Name_Coffee Candy;Product Name_Crackers;Product Name_Ginger Candy ;Product Name_Oat;Product Name_Potato Chip;Product Name_Thai Tea;Product Name_Yoghurt
2022-01-11;18;18;18;18;18;9;36.111111111111114;13.620438314139564;19;62;599.7777777777778;496.15812891545863;18;10;75;4.166666666666667;574100;31894.444444444445;19872.400968716334;8777.777777777777;4871.713740691445;0;1;3;4;1;3;1;2;2;1;0;0;0;0;1;0;1;2;0;1;0;1;1;0;0;0;1;0;0;2;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;2;3;1;3;0;1;0;2;1;2;0;2;0;1;0;0;0;3;2;2;2;1;3;1;2;2;0;3;4;2;2;1;6;9;9;0;2;1;1;1;2;3;3;0;1;0;0;2;2;0;2;1;2;3;1;3;0;0;0;1;1;2;2;11;7;13;5;1;1;0;2;4;3;2;1;3;1
2022-01-12;11;11;11;11;11;7;40.90909090909091;12.234823623203937;26;60;565.9090909090909;363.92841453930316;11;9;35;3.1818181818181817;369700;33609.09090909091;22217.040961633687;11681.818181818182;4169.128969417517;1;3;1;1;1;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;2;0;2;1;1;1;0;0;1;0;2;1;2;1;1;1;0;0;1;1;0;1;3;3;2;1;0;0;2;8;3;1;0;1;0;0;0;1;1;2;1;0;2;1;1;0;0;0;0;1;1;1;2;2;1;0;1;1;1;9;2;7;4;0;3;1;0;1;1;2;1;0;2
2022-01-13;10;10;10;10;10;6;46.2;9.772978620211502;31;61;885.1;511.38340693543125;10;6;28;2.8;309800;30980.0;16898.244484758372;12160.0;4848.642421681901;2;1;0;0;1;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;1;1;0;3;0;0;0;1;0;2;0;0;0;0;0;1;1;3;2;0;2;1;0;0;0;1;1;3;2;0;3;4;6;0;2;0;3;0;0;2;1;0;1;0;0;1;0;0;2;0;0;2;1;1;0;0;0;3;0;0;1;9;1;5;5;3;1;2;2;0;0;0;1;1;0
2022-01-14;9;9;9;9;9;6;35.111111111111114;16.699135040807086;19;68;476.77777777777777;567.498629464816;9;7;31;3.4444444444444446;285800;31755.555555555555;19356.078574385305;9633.333333333334;3984.9717690342554;0;2;0;1;1;2;0;2;0;1;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;1;0;0;0;0;1;1;0;0;0;1;2;0;1;0;0;0;1;0;2;1;1;2;1;1;0;1;1;0;2;4;2;7;1;0;1;0;2;2;1;0;0;1;0;0;0;1;0;0;2;2;1;1;0;0;0;1;0;1;1;0;5;4;7;2;0;2;0;2;1;0;0;1;2;1
2022-01-15;25;25;25;25;25;10;40.12;12.75512968704487;19;61;871.12;506.9551525200889;25;11;102;4.08;932700;37308.0;24693.148847402997;9460.0;4654.209564111468;2;3;2;1;3;6;1;2;2;3;0;0;0;0;1;0;0;0;1;1;1;2;0;0;0;1;0;2;1;0;0;0;1;0;1;2;0;0;0;0;1;1;0;1;1;0;2;0;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;4;3;0;3;2;0;1;4;3;2;1;0;1;1;2;1;1;3;2;3;0;1;3;0;4;5;2;5;6;3;1;1;7;14;11;1;0;3;0;1;4;3;3;2;0;1;1;2;4;1;0;1;4;3;0;3;2;1;1;0;3;4;2;18;7;12;13;1;3;2;2;1;2;2;3;6;3
2022-01-16;11;11;11;11;11;6;40.90909090909091;14.47380078247967;19;61;848.2727272727273;588.5932535986275;11;9;33;3.0;414600;37690.90909090909;22122.633412207262;13454.545454545454;4340.590659429575;1;4;1;0;0;0;1;0;3;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;1;1;1;0;0;1;0;0;2;1;1;1;0;0;1;1;1;2;0;1;0;1;1;2;1;2;1;2;0;2;0;4;7;4;1;1;0;0;0;2;1;1;0;1;1;1;2;0;1;1;0;2;1;1;1;0;1;1;0;0;0;2;8;3;4;7;1;4;1;0;0;1;3;0;0;1
2022-01-17;17;17;17;16;17;8;40.11764705882353;11.444880694775593;19;57;800.8235294117648;546.7389956933424;17;11;77;4.529411764705882;665500;39147.05882352941;22929.841845482137;9047.058823529413;4747.778118112043;1;3;1;2;0;5;0;2;2;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;3;0;1;0;0;1;1;0;0;0;0;0;1;1;0;0;2;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;3;1;1;0;1;1;2;2;0;2;0;2;1;0;2;1;1;0;3;0;1;3;1;1;4;3;1;2;3;2;1;5;8;9;2;0;2;1;1;1;3;1;0;1;2;1;0;2;2;0;1;1;3;1;1;0;1;2;1;2;2;0;13;4;9;8;0;3;1;2;2;1;2;0;5;1
2022-01-18;12;12;12;12;12;5;43.25;13.51177937276145;22;60;1092.3333333333333;562.8069802069773;12;9;37;3.0833333333333335;287100;23925.0;15630.339087812523;8516.666666666666;4924.121210629333;0;0;2;4;0;2;0;1;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;1;1;2;2;0;0;0;2;1;1;0;1;1;2;1;0;2;1;0;1;0;1;2;3;2;0;2;3;0;2;8;4;1;1;0;2;0;1;1;1;1;0;2;2;0;0;2;1;0;1;1;0;1;1;2;1;2;0;0;0;10;2;9;3;0;0;0;1;4;2;3;0;2;0
2022-01-19;15;15;15;15;15;8;35.733333333333334;12.825569698662045;18;57;674.8666666666667;508.7817194978984;15;12;49;3.2666666666666666;497000;33133.333333333336;17553.577847210956;10173.333333333334;3623.231916923001;2;2;0;4;2;1;1;2;0;1;0;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;1;1;1;1;1;1;3;1;1;0;1;1;1;0;1;2;1;0;1;2;1;4;2;1;2;2;4;0;4;9;6;1;1;1;1;0;1;1;0;1;2;3;1;1;1;3;1;0;1;1;2;0;1;1;1;1;1;1;1;11;4;11;4;1;2;2;2;4;0;0;2;1;1
2022-01-20;13;13;13;13;13;8;36.76923076923077;9.601682544862003;20;51;851.2307692307693;577.2941413534573;13;10;40;3.076923076923077;376300;28946.153846153848;18517.67693244374;9946.153846153846;4446.087303201806;0;1;0;1;1;3;1;3;1;2;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;2;1;0;0;0;1;0;2;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;1;1;0;1;1;0;3;1;1;1;1;1;0;1;2;3;1;1;2;0;0;2;1;1;2;3;1;3;7;6;1;3;1;1;1;0;1;0;1;2;0;1;1;0;0;3;1;0;1;2;0;1;1;1;1;1;0;1;11;2;7;6;1;1;0;3;1;0;1;1;3;2
2022-01-21;15;15;15;15;15;8;32.733333333333334;9.580237595224474;21;51;525.6;370.916008975463;15;9;60;4.0;566900;37793.333333333336;16890.33817925277;10353.333333333334;4761.132318302123;2;1;1;3;0;1;3;2;0;2;0;0;0;0;0;0;1;1;0;2;1;1;0;0;2;0;0;0;0;0;1;0;1;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;2;2;0;0;0;2;0;1;2;1;0;2;1;0;2;0;2;2;0;1;1;3;1;1;4;0;2;3;0;5;8;7;1;2;2;0;0;3;1;2;2;1;1;0;0;0;1;2;0;3;1;1;2;2;0;1;0;2;0;0;8;7;11;4;3;1;2;2;3;1;0;0;1;2
2022-01-22;9;9;9;9;9;5;39.77777777777778;10.096754153907305;25;54;1192.2222222222222;522.4214720361754;9;7;32;3.5555555555555554;355600;39511.11111111111;22225.010936130297;11433.333333333334;4950.2525188115405;0;1;0;1;2;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;2;0;0;2;1;0;0;1;0;1;0;0;0;1;0;1;1;0;4;1;1;2;0;3;0;2;7;2;0;1;0;0;0;0;1;0;1;1;2;1;0;2;2;1;0;0;1;1;0;1;1;0;0;0;2;0;8;1;6;3;0;1;0;0;1;0;3;2;2;0
2022-01-23;10;10;10;10;10;5;38.5;12.677626837157742;22;58;775.9;514.3426117115149;10;6;37;3.7;236700;23670.0;10026.415112092656;8110.0;4807.736820306757;1;1;0;3;0;4;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;1;0;2;3;0;0;3;0;0;1;1;2;0;2;1;0;0;3;0;1;1;2;0;3;6;4;3;2;0;1;0;0;2;0;0;1;0;0;1;0;0;2;0;0;2;1;0;0;0;3;1;0;0;1;8;2;5;5;1;1;1;0;3;0;0;0;4;0
2022-01-24;13;13;13;13;13;7;41.92307692307692;12.182374826373405;21;60;684.2307692307693;395.55259950398374;13;9;55;4.230769230769231;527000;40538.46153846154;26447.102502339094;10146.153846153846;5858.13044474876;2;2;4;1;1;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;2;0;1;1;2;3;1;0;0;0;2;0;1;1;3;2;0;0;1;1;0;2;1;3;4;2;1;0;2;9;4;0;0;2;0;0;0;1;1;2;1;1;1;3;1;1;0;0;0;1;1;1;2;1;0;0;2;1;3;11;2;8;5;2;2;2;0;1;4;1;1;0;0
2022-01-25;17;17;17;17;17;8;37.94117647058823;10.280263786956624;22;55;984.5882352941177;625.5795371916678;17;10;60;3.5294117647058822;480500;28264.70588235294;19626.670030104146;8235.29411764706;4451.957599819234;2;2;2;2;2;5;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;3;1;1;0;1;0;0;1;0;0;0;0;0;1;2;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;3;2;0;0;1;1;0;0;1;1;2;1;0;2;1;2;0;0;1;1;1;3;4;2;3;2;1;0;2;1;8;8;9;2;1;0;0;1;4;1;2;0;3;1;1;0;1;1;1;1;4;1;3;2;0;1;2;0;0;1;0;16;1;7;10;0;2;2;0;2;2;1;2;5;1
2022-01-26;15;15;15;15;15;8;39.53333333333333;11.915576040668466;21;61;722.4;491.0587395763216;15;11;49;3.2666666666666666;484400;32293.333333333332;15867.282901198512;10853.333333333334;4318.211710992455;2;4;1;2;1;1;0;2;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;2;1;1;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;3;1;1;2;1;1;2;1;0;0;0;1;0;2;3;2;2;0;0;1;1;1;2;2;4;3;2;1;0;3;10;5;0;0;1;1;0;1;1;3;1;1;1;2;2;1;1;0;0;1;1;1;3;1;2;0;1;1;1;2;13;2;9;6;0;4;2;2;2;1;2;1;1;0
2022-01-27;20;20;20;20;20;10;40.15;14.057307520888989;18;61;851.2;669.3104542815138;20;10;66;3.3;607200;30360.0;14288.250601916172;10755.0;5033.621172204275;1;3;2;1;2;3;1;2;4;1;0;0;0;1;0;0;0;1;0;1;1;1;1;0;0;0;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;3;0;0;0;0;1;1;1;0;0;0;0;0;0;0;2;1;0;4;1;1;0;1;2;0;0;2;1;5;1;1;0;4;0;3;2;5;1;0;2;1;1;5;1;3;2;5;3;9;11;1;2;2;1;5;2;1;4;1;0;0;0;0;1;0;2;5;2;1;0;4;1;0;1;1;2;1;0;14;6;10;10;1;3;1;2;1;2;4;2;3;1
2022-01-28;14;14;14;14;14;8;38.92857142857143;14.242213990130162;19;59;759.2857142857143;570.1067954706015;14;11;43;3.0714285714285716;352400;25171.428571428572;11896.698221415409;8978.57142857143;4925.9405304865495;1;0;3;1;2;2;0;1;3;1;0;0;0;0;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;2;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;2;1;3;1;1;1;0;1;1;1;1;3;1;1;0;1;1;0;3;2;2;5;1;2;0;2;11;3;1;1;1;0;0;0;1;1;1;1;1;1;3;2;1;1;0;0;1;1;1;1;1;1;0;1;2;3;10;4;8;6;0;0;1;1;1;3;3;2;2;1
2022-01-29;10;10;10;10;10;7;43.2;11.282237760696631;18;56;846.8;409.57696332788163;10;7;35;3.5;316800;31680.0;14420.417623787615;10140.0;4391.962355637094;1;0;0;0;1;2;1;3;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;2;1;0;0;1;2;0;0;1;2;0;1;0;1;2;0;1;1;0;0;2;1;2;1;2;2;1;1;6;4;0;0;0;2;1;0;1;0;2;0;2;1;1;0;2;0;1;0;1;0;0;2;1;0;2;0;0;1;9;1;6;4;1;0;1;3;0;0;1;1;2;1
2022-01-30;14;14;14;13;14;7;40.42857142857143;15.01135101650279;23;68;585.7142857142857;401.7018466803129;14;10;49;3.5;465300;33235.71428571428;16516.63996109365;10271.42857142857;3763.2695627868334;0;1;0;2;2;2;0;1;2;4;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;2;0;0;1;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;1;0;0;0;0;1;1;2;1;3;0;1;0;1;1;2;0;1;1;0;0;2;1;3;2;1;1;1;0;2;0;3;2;3;3;1;2;8;6;0;2;0;3;1;0;1;2;1;1;1;0;1;1;1;2;1;0;1;1;2;1;0;0;3;0;1;1;12;2;7;7;0;1;0;1;2;0;2;2;2;4
