TransactionID;CustomerID;Date;ProductID;Price_x;Qty;TotalAmount;StoreID;Age;Gender;Marital Status;Income;StoreName;GroupStore;Type;Latitude;Longitude;Product Name;Price_y
TR25759;218;03/01/2022;P5;4200;4;16800;14;29;0;Married;3,52;Priangan;Priangan;Modern Trade;-5,45;105,26667;Thai Tea;4200
TR26782;237;03/01/2022;P10;15000;4;60000;7;35;1;Married;8,14;Buana Indah;Buana;General Trade;3,316694;114,590111;Cheese Stick;15000
TR27698;178;03/01/2022;P6;18000;3;54000;8;43;0;Married;9,58;Sinar Harapan;Harapan Baru;General Trade;5,54829;95,323753;Cashew;18000
TR31585;144;03/01/2022;P2;3200;3;9600;6;34;0;Married;10,01;Lingga;Lingga;Modern Trade;-5,135399;119,42379;Ginger Candy ;3200
TR36491;117;03/01/2022;P3;7500;4;30000;12;45;1;Married;12,55;Prestasi Utama;Prestasi;General Trade;-2,990934;104,756554;Crackers;7500
TR36846;159;03/01/2022;P9;10000;2;20000;7;53;1;Married;13,65;Buana Indah;Buana;General Trade;3,316694;114,590111;Yoghurt;10000
TR40890;224;03/01/2022;P6;18000;3;54000;14;29;0;Married;3,31;Priangan;Priangan;Modern Trade;-5,45;105,26667;Cashew;18000
TR45933;406;03/01/2022;P4;12000;2;24000;8;38;1;Married;8,64;Sinar Harapan;Harapan Baru;General Trade;5,54829;95,323753;Potato Chip;12000
TR45980;7;03/01/2022;P3;7500;3;22500;7;31;0;Married;4,57;Buana Indah;Buana;General Trade;3,316694;114,590111;Crackers;7500
TR46171;21;03/01/2022;P10;15000;3;45000;10;52;0;Married;12,72;Harapan Baru;Harapan Baru;General Trade;3,597031;98,678513;Cheese Stick;15000
TR54686;106;03/01/2022;P2;3200;5;16000;10;24;0;Single;6,79;Harapan Baru;Harapan Baru;General Trade;3,597031;98,678513;Ginger Candy ;3200
TR74189;202;03/01/2022;P7;9400;3;28200;10;28;0;Married;4,53;Harapan Baru;Harapan Baru;General Trade;3,597031;98,678513;Coffee Candy;9400
TR86483;45;03/01/2022;P8;16000;3;48000;12;53;0;Married;9,25;Prestasi Utama;Prestasi;General Trade;-2,990934;104,756554;Oat;16000
TR9341;202;03/01/2022;P7;9400;5;47000;14;28;0;Married;4,53;Priangan;Priangan;Modern Trade;-5,45;105,26667;Coffee Candy;9400
TR14593;311;04/01/2022;P6;18000;4;72000;9;61;1;Married;7,64;Lingga;Lingga;Modern Trade;-3,654703;128,190643;Cashew;18000
TR14970;136;04/01/2022;P10;15000;1;15000;6;28;1;Married;2,96;Lingga;Lingga;Modern Trade;-5,135399;119,42379;Cheese Stick;15000
TR2102;23;04/01/2022;P5;4200;4;16800;14;57;1;Married;12,56;Priangan;Priangan;Modern Trade;-5,45;105,26667;Thai Tea;4200
TR22313;194;04/01/2022;P2;3200;4;12800;2;31;1;Married;4,33;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;107,608238;Ginger Candy ;3200
TR37381;243;04/01/2022;P10;15000;2;30000;7;38;0;Married;3,34;Buana Indah;Buana;General Trade;3,316694;114,590111;Cheese Stick;15000
TR41140;78;04/01/2022;P9;10000;2;20000;14;41;1;Married;10,34;Priangan;Priangan;Modern Trade;-5,45;105,26667;Yoghurt;10000
TR45300;351;04/01/2022;P6;18000;4;72000;11;45;1;Married;18,34;Sinar Harapan;Prestasi;General Trade;0,533505;101,447403;Cashew;18000
TR48461;117;04/01/2022;P5;4200;2;8400;1;45;1;Married;12,55;Prima Tendean;Prima;Modern Trade;-6,2;106,816666;Thai Tea;4200
TR49210;189;04/01/2022;P4;12000;1;12000;7;59;1;Single;5,15;Buana Indah;Buana;General Trade;3,316694;114,590111;Potato Chip;12000
TR50516;304;04/01/2022;P10;15000;2;30000;1;34;0;Single;8,55;Prima Tendean;Prima;Modern Trade;-6,2;106,816666;Cheese Stick;15000
TR51256;433;04/01/2022;P9;10000;1;10000;4;48;1;Married;11,97;Gita Ginara;Gita;General Trade;-6,966667;110,416664;Yoghurt;10000
TR57427;157;04/01/2022;P5;4200;3;12600;5;44;0;Single;2,52;Bonafid;Gita;General Trade;-7,250445;112,768845;Thai Tea;4200
TR64821;117;04/01/2022;P3;7500;1;7500;2;45;1;Married;12,55;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;107,608238;Crackers;7500
TR68280;36;04/01/2022;P8;16000;1;16000;12;32;1;Married;10,4;Prestasi Utama;Prestasi;General Trade;-2,990934;104,756554;Oat;16000
TR86686;403;04/01/2022;P5;4200;2;8400;1;30;0;Married;4,06;Prima Tendean;Prima;Modern Trade;-6,2;106,816666;Thai Tea;4200
TR88044;62;04/01/2022;P5;4200;5;21000;1;51;1;Married;13,62;Prima Tendean;Prima;Modern Trade;-6,2;106,816666;Thai Tea;4200
TR90452;440;04/01/2022;P2;3200;5;16000;11;40;0;Married;3,47;Sinar Harapan;Prestasi;General Trade;0,533505;101,447403;Ginger Candy ;3200
TR98969;355;04/01/2022;P8;16000;1;16000;4;19;1;Single;0;Gita Ginara;Gita;General Trade;-6,966667;110,416664;Oat;16000
TR10602;22;05/01/2022;P5;4200;3;12600;11;34;0;Single;9,91;Sinar Harapan;Prestasi;General Trade;0,533505;101,447403;Thai Tea;4200
TR24114;182;05/01/2022;P8;16000;1;16000;4;44;1;Married;14,57;Gita Ginara;Gita;General Trade;-6,966667;110,416664;Oat;16000
TR35280;167;05/01/2022;P9;10000;1;10000;2;28;1;Married;2,91;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;107,608238;Yoghurt;10000
TR36079;297;05/01/2022;P5;4200;4;16800;11;41;1;Married;12,13;Sinar Harapan;Prestasi;General Trade;0,533505;101,447403;Thai Tea;4200
TR43714;416;05/01/2022;P7;9400;2;18800;13;27;1;;3,43;Buana;Buana;General Trade;-1,26916;116,825264;Coffee Candy;9400
TR46041;7;05/01/2022;P9;10000;5;50000;8;31;0;Married;4,57;Sinar Harapan;Harapan Baru;General Trade;5,54829;95,323753;Yoghurt;10000
TR60242;304;05/01/2022;P4;12000;1;12000;13;34;0;Single;8,55;Buana;Buana;General Trade;-1,26916;116,825264;Potato Chip;12000
TR61100;278;05/01/2022;P8;16000;2;32000;2;31;1;Married;9,76;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;107,608238;Oat;16000
TR61437;123;05/01/2022;P1;8800;4;35200;6;34;0;Married;4,36;Lingga;Lingga;Modern Trade;-5,135399;119,42379;Choco Bar;8800
TR84132;22;05/01/2022;P9;10000;7;70000;14;34;0;Single;9,91;Priangan;Priangan;Modern Trade;-5,45;105,26667;Yoghurt;10000
TR11638;67;06/01/2022;P2;3200;5;16000;12;19;0;Single;0;Prestasi Utama;Prestasi;General Trade;-2,990934;104,756554;Ginger Candy ;3200
TR20374;282;06/01/2022;P2;3200;5;16000;3;55;0;Married;11,38;Prima Kota;Prima;Modern Trade;-7,797068;110,370529;Ginger Candy ;3200
TR23183;84;06/01/2022;P4;12000;4;48000;9;54;0;Married;18,12;Lingga;Lingga;Modern Trade;-3,654703;128,190643;Potato Chip;12000
TR24126;30;06/01/2022;P2;3200;3;9600;3;37;1;Single;2,26;Prima Kota;Prima;Modern Trade;-7,797068;110,370529;Ginger Candy ;3200
TR32850;306;06/01/2022;P2;3200;3;9600;6;49;0;Married;16,52;Lingga;Lingga;Modern Trade;-5,135399;119,42379;Ginger Candy ;3200
TR40523;176;06/01/2022;P3;7500;4;30000;2;54;1;Married;18,32;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;107,608238;Crackers;7500
TR41572;366;06/01/2022;P6;18000;3;54000;3;18;0;Single;0;Prima Kota;Prima;Modern Trade;-7,797068;110,370529;Cashew;18000
TR45142;438;06/01/2022;P10;15000;4;60000;10;36;1;Single;5,43;Harapan Baru;Harapan Baru;General Trade;3,597031;98,678513;Cheese Stick;15000
TR73860;71;06/01/2022;P4;12000;4;48000;1;46;0;Married;12,42;Prima Tendean;Prima;Modern Trade;-6,2;106,816666;Potato Chip;12000
TR74469;340;06/01/2022;P5;4200;4;16800;4;41;0;Single;10,9;Gita Ginara;Gita;General Trade;-6,966667;110,416664;Thai Tea;4200
TR77963;116;06/01/2022;P3;7500;2;15000;7;51;1;Married;15,77;Buana Indah;Buana;General Trade;3,316694;114,590111;Crackers;7500
TR81478;20;06/01/2022;P5;4200;4;16800;8;43;0;Married;18,91;Sinar Harapan;Harapan Baru;General Trade;5,54829;95,323753;Thai Tea;4200
TR83042;102;06/01/2022;P2;3200;6;19200;10;39;0;Married;6,44;Harapan Baru;Harapan Baru;General Trade;3,597031;98,678513;Ginger Candy ;3200
TR87914;161;06/01/2022;P5;4200;4;16800;9;41;0;Married;20,02;Lingga;Lingga;Modern Trade;-3,654703;128,190643;Thai Tea;4200
TR92298;266;06/01/2022;P2;3200;6;19200;2;72;1;Married;4,72;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;107,608238;Ginger Candy ;3200
TR95272;84;06/01/2022;P7;9400;3;28200;8;54;0;Married;18,12;Sinar Harapan;Harapan Baru;General Trade;5,54829;95,323753;Coffee Candy;9400
TR96723;240;06/01/2022;P5;4200;4;16800;14;22;1;Single;3,33;Priangan;Priangan;Modern Trade;-5,45;105,26667;Thai Tea;4200
TR97562;264;06/01/2022;P5;4200;3;12600;14;21;1;Single;1,12;Priangan;Priangan;Modern Trade;-5,45;105,26667;Thai Tea;4200
TR22660;43;07/01/2022;P5;4200;3;12600;13;53;0;Married;16,64;Buana;Buana;General Trade;-1,26916;116,825264;Thai Tea;4200
TR23169;189;07/01/2022;P1;8800;7;61600;7;59;1;Single;5,15;Buana Indah;Buana;General Trade;3,316694;114,590111;Choco Bar;8800
TR28506;230;07/01/2022;P9;10000;3;30000;12;40;1;Married;4,32;Prestasi Utama;Prestasi;General Trade;-2,990934;104,756554;Yoghurt;10000
TR31932;70;07/01/2022;P9;10000;4;40000;7;30;1;Married;4,42;Buana Indah;Buana;General Trade;3,316694;114,590111;Yoghurt;10000
TR38873;311;07/01/2022;P2;3200;6;19200;5;61;1;Married;7,64;Bonafid;Gita;General Trade;-7,250445;112,768845;Ginger Candy ;3200
TR43744;233;07/01/2022;P2;3200;6;19200;8;43;1;Married;5,69;Sinar Harapan;Harapan Baru;General Trade;5,54829;95,323753;Ginger Candy ;3200
TR60853;74;07/01/2022;P2;3200;3;9600;6;3;1;Married;5,09;Lingga;Lingga;Modern Trade;-5,135399;119,42379;Ginger Candy ;3200
TR73336;399;07/01/2022;P8;16000;3;48000;10;52;1;Single;33,77;Harapan Baru;Harapan Baru;General Trade;3,597031;98,678513;Oat;16000
TR74427;43;07/01/2022;P8;16000;2;32000;3;53;0;Married;16,64;Prima Kota;Prima;Modern Trade;-7,797068;110,370529;Oat;16000
TR23772;156;08/01/2022;P10;15000;1;15000;1;44;0;Married;3,87;Prima Tendean;Prima;Modern Trade;-6,2;106,816666;Cheese Stick;15000
TR36287;157;08/01/2022;P7;9400;2;18800;2;44;0;Single;2,52;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;107,608238;Coffee Candy;9400
TR40790;134;08/01/2022;P7;9400;4;37600;8;50;0;Married;18,62;Sinar Harapan;Harapan Baru;General Trade;5,54829;95,323753;Coffee Candy;9400
TR4331;335;08/01/2022;P3;7500;3;22500;12;29;1;Single;4,74;Prestasi Utama;Prestasi;General Trade;-2,990934;104,756554;Crackers;7500
TR43444;240;08/01/2022;P4;12000;5;60000;2;22;1;Single;3,33;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;107,608238;Potato Chip;12000
TR55617;9;08/01/2022;P7;9400;5;47000;9;33;0;Married;9,92;Lingga;Lingga;Modern Trade;-3,654703;128,190643;Coffee Candy;9400
TR57273;344;08/01/2022;P4;12000;1;12000;10;47;1;Married;5,63;Harapan Baru;Harapan Baru;General Trade;3,597031;98,678513;Potato Chip;12000
TR648;164;08/01/2022;P5;4200;3;12600;5;18;1;Single;0;Bonafid;Gita;General Trade;-7,250445;112,768845;Thai Tea;4200
TR65337;12;08/01/2022;P5;4200;3;12600;3;2;1;Married;4,94;Prima Kota;Prima;Modern Trade;-7,797068;110,370529;Thai Tea;4200
TR6602;211;08/01/2022;P8;16000;2;32000;5;29;0;Married;3,54;Bonafid;Gita;General Trade;-7,250445;112,768845;Oat;16000
TR67501;85;08/01/2022;P4;12000;3;36000;13;59;1;Married;7,89;Buana;Buana;General Trade;-1,26916;116,825264;Potato Chip;12000
TR70157;415;08/01/2022;P8;16000;2;32000;4;44;0;Married;18,57;Gita Ginara;Gita;General Trade;-6,966667;110,416664;Oat;16000
TR84962;55;08/01/2022;P3;7500;5;37500;7;34;1;Married;8,44;Buana Indah;Buana;General Trade;3,316694;114,590111;Crackers;7500
TR89167;69;08/01/2022;P1;8800;5;44000;10;26;0;Single;2,84;Harapan Baru;Harapan Baru;General Trade;3,597031;98,678513;Choco Bar;8800
TR90471;162;08/01/2022;P3;7500;3;22500;3;49;0;Married;11,46;Prima Kota;Prima;Modern Trade;-7,797068;110,370529;Crackers;7500
TR14091;307;09/01/2022;P1;8800;5;44000;11;31;0;Married;5,22;Sinar Harapan;Prestasi;General Trade;0,533505;101,447403;Choco Bar;8800
TR28270;140;09/01/2022;P2;3200;7;22400;3;54;0;Married;9,57;Prima Kota;Prima;Modern Trade;-7,797068;110,370529;Ginger Candy ;3200
TR48974;170;09/01/2022;P10;15000;1;15000;9;36;0;Married;7,55;Lingga;Lingga;Modern Trade;-3,654703;128,190643;Cheese Stick;15000
TR52493;354;09/01/2022;P8;16000;1;16000;11;53;1;Married;16,94;Sinar Harapan;Prestasi;General Trade;0,533505;101,447403;Oat;16000
TR52613;135;09/01/2022;P5;4200;3;12600;9;41;0;Married;3,28;Lingga;Lingga;Modern Trade;-3,654703;128,190643;Thai Tea;4200
TR53447;137;09/01/2022;P2;3200;4;12800;5;34;1;Married;6,36;Bonafid;Gita;General Trade;-7,250445;112,768845;Ginger Candy ;3200
TR5513;62;09/01/2022;P4;12000;4;48000;2;51;1;Married;13,62;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;107,608238;Potato Chip;12000
TR76965;241;09/01/2022;P1;8800;8;70400;3;24;1;Single;0,57;Prima Kota;Prima;Modern Trade;-7,797068;110,370529;Choco Bar;8800
TR80326;269;09/01/2022;P8;16000;1;16000;2;39;1;Married;6,3;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;107,608238;Oat;16000
TR858;340;09/01/2022;P8;16000;2;32000;14;41;0;Single;10,9;Priangan;Priangan;Modern Trade;-5,45;105,26667;Oat;16000
TR8878;415;09/01/2022;P5;4200;3;12600;9;44;0;Married;18,57;Lingga;Lingga;Modern Trade;-3,654703;128,190643;Thai Tea;4200
TR89449;178;09/01/2022;P5;4200;2;8400;11;43;0;Married;9,58;Sinar Harapan;Prestasi;General Trade;0,533505;101,447403;Thai Tea;4200
TR91332;385;09/01/2022;P9;10000;1;10000;10;41;1;Married;15,84;Harapan Baru;Harapan Baru;General Trade;3,597031;98,678513;Yoghurt;10000
TR91669;241;09/01/2022;P5;4200;5;21000;2;24;1;Single;0,57;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;107,608238;Thai Tea;4200
TR3291;13;10/01/2022;P4;12000;5;60000;14;23;0;Single;2,03;Priangan;Priangan;Modern Trade;-5,45;105,26667;Potato Chip;12000
TR45059;17;10/01/2022;P1;8800;6;52800;9;35;0;Married;3,14;Lingga;Lingga;Modern Trade;-3,654703;128,190643;Choco Bar;8800
TR47932;122;10/01/2022;P7;9400;3;28200;7;26;1;Single;0,14;Buana Indah;Buana;General Trade;3,316694;114,590111;Coffee Candy;9400
TR57616;446;10/01/2022;P1;8800;7;61600;2;57;0;Married;7,81;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;107,608238;Choco Bar;8800
TR59952;321;10/01/2022;P4;12000;5;60000;14;45;0;Married;8,03;Priangan;Priangan;Modern Trade;-5,45;105,26667;Potato Chip;12000
TR6445;181;10/01/2022;P3;7500;4;30000;12;33;1;Married;9,94;Prestasi Utama;Prestasi;General Trade;-2,990934;104,756554;Crackers;7500
TR69307;23;10/01/2022;P8;16000;1;16000;1;57;1;Married;12,56;Prima Tendean;Prima;Modern Trade;-6,2;106,816666;Oat;16000
TR69902;108;10/01/2022;P7;9400;2;18800;9;25;0;Single;6,87;Lingga;Lingga;Modern Trade;-3,654703;128,190643;Coffee Candy;9400
TR7250;49;10/01/2022;P1;8800;7;61600;11;44;1;Married;13,48;Sinar Harapan;Prestasi;General Trade;0,533505;101,447403;Choco Bar;8800
TR77811;329;10/01/2022;P10;15000;2;30000;4;19;1;Single;0;Gita Ginara;Gita;General Trade;-6,966667;110,416664;Cheese Stick;15000
TR80374;223;10/01/2022;P8;16000;3;48000;10;62;1;Single;5,35;Harapan Baru;Harapan Baru;General Trade;3,597031;98,678513;Oat;16000
TR82224;246;10/01/2022;P2;3200;3;9600;12;40;1;Single;21,81;Prestasi Utama;Prestasi;General Trade;-2,990934;104,756554;Ginger Candy ;3200
TR8236;249;10/01/2022;P2;3200;6;19200;7;47;0;Married;13,34;Buana Indah;Buana;General Trade;3,316694;114,590111;Ginger Candy ;3200
TR8369;64;10/01/2022;P3;7500;1;7500;4;48;1;Married;7,92;Gita Ginara;Gita;General Trade;-6,966667;110,416664;Crackers;7500
TR86436;26;10/01/2022;P10;15000;1;15000;14;45;1;Married;7,83;Priangan;Priangan;Modern Trade;-5,45;105,26667;Cheese Stick;15000
TR88217;442;10/01/2022;P9;10000;1;10000;8;42;1;Married;14,88;Sinar Harapan;Harapan Baru;General Trade;5,54829;95,323753;Yoghurt;10000
TR95284;229;10/01/2022;P2;3200;3;9600;2;32;0;Married;10,17;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;107,608238;Ginger Candy ;3200
TR18566;8;11/01/2022;P3;7500;3;22500;8;37;1;Married;5,49;Sinar Harapan;Harapan Baru;General Trade;5,54829;95,323753;Crackers;7500
TR23232;168;11/01/2022;P2;3200;6;19200;1;27;0;Married;4,88;Prima Tendean;Prima;Modern Trade;-6,2;106,816666;Ginger Candy ;3200
TR36166;256;11/01/2022;P10;15000;5;75000;12;56;0;Married;7,09;Prestasi Utama;Prestasi;General Trade;-2,990934;104,756554;Cheese Stick;15000
TR36685;196;11/01/2022;P2;3200;6;19200;2;34;0;Married;3,17;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;107,608238;Ginger Candy ;3200
TR40960;394;11/01/2022;P6;18000;1;18000;4;50;0;Married;7,19;Gita Ginara;Gita;General Trade;-6,966667;110,416664;Cashew;18000
TR47732;329;11/01/2022;P2;3200;6;19200;4;19;1;Single;0;Gita Ginara;Gita;General Trade;-6,966667;110,416664;Ginger Candy ;3200
TR57918;72;11/01/2022;P4;12000;5;60000;6;26;0;Single;1,81;Lingga;Lingga;Modern Trade;-5,135399;119,42379;Potato Chip;12000
TR59286;278;11/01/2022;P7;9400;6;56400;8;31;1;Married;9,76;Sinar Harapan;Harapan Baru;General Trade;5,54829;95,323753;Coffee Candy;9400
TR63021;393;11/01/2022;P8;16000;1;16000;12;22;0;Single;0;Prestasi Utama;Prestasi;General Trade;-2,990934;104,756554;Oat;16000
TR64748;232;11/01/2022;P5;4200;4;16800;9;62;0;Married;7,32;Lingga;Lingga;Modern Trade;-3,654703;128,190643;Thai Tea;4200
TR6627;339;11/01/2022;P9;10000;6;60000;10;22;0;Single;2,19;Harapan Baru;Harapan Baru;General Trade;3,597031;98,678513;Yoghurt;10000
TR71791;295;11/01/2022;P7;9400;5;47000;3;34;0;Married;4,78;Prima Kota;Prima;Modern Trade;-7,797068;110,370529;Coffee Candy;9400
TR75052;151;11/01/2022;P3;7500;1;7500;2;42;0;Married;10,38;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;107,608238;Crackers;7500
TR76046;16;11/01/2022;P8;16000;2;32000;1;52;0;Married;11,8;Prima Tendean;Prima;Modern Trade;-6,2;106,816666;Oat;16000
TR84499;312;11/01/2022;P3;7500;3;22500;2;54;0;Married;18,77;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;107,608238;Crackers;7500
TR85582;145;11/01/2022;P5;4200;4;16800;14;37;0;Single;14,59;Priangan;Priangan;Modern Trade;-5,45;105,26667;Thai Tea;4200
TR93692;244;11/01/2022;P5;4200;5;21000;10;21;1;Single;3,64;Harapan Baru;Harapan Baru;General Trade;3,597031;98,678513;Thai Tea;4200
TR94450;213;11/01/2022;P3;7500;6;45000;4;24;1;Single;5,72;Gita Ginara;Gita;General Trade;-6,966667;110,416664;Crackers;7500
TR24515;347;12/01/2022;P10;15000;2;30000;7;26;1;Single;3,69;Buana Indah;Buana;General Trade;3,316694;114,590111;Cheese Stick;15000
TR24817;287;12/01/2022;P3;7500;1;7500;8;36;0;Single;3,7;Sinar Harapan;Harapan Baru;General Trade;5,54829;95,323753;Crackers;7500
TR25833;135;12/01/2022;P2;3200;4;12800;5;41;0;Married;3,28;Bonafid;Gita;General Trade;-7,250445;112,768845;Ginger Candy ;3200
TR28633;201;12/01/2022;P9;10000;6;60000;2;57;0;Married;6,87;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;107,608238;Yoghurt;10000
TR39671;52;12/01/2022;P10;15000;2;30000;7;37;0;Married;3,73;Buana Indah;Buana;General Trade;3,316694;114,590111;Cheese Stick;15000
TR4401;342;12/01/2022;P4;12000;5;60000;3;48;1;Married;13,55;Prima Kota;Prima;Modern Trade;-7,797068;110,370529;Potato Chip;12000
TR49649;154;12/01/2022;P10;15000;1;15000;10;31;0;Married;8,36;Harapan Baru;Harapan Baru;General Trade;3,597031;98,678513;Cheese Stick;15000
TR69772;112;12/01/2022;P8;16000;1;16000;5;31;1;Married;4,44;Bonafid;Gita;General Trade;-7,250445;112,768845;Oat;16000
TR76028;301;12/01/2022;P1;8800;8;70400;4;60;0;Married;8,97;Gita Ginara;Gita;General Trade;-6,966667;110,416664;Choco Bar;8800
TR9420;28;12/01/2022;P8;16000;3;48000;9;55;0;Married;6,08;Lingga;Lingga;Modern Trade;-3,654703;128,190643;Oat;16000
TR94326;167;12/01/2022;P9;10000;2;20000;13;28;1;Married;2,91;Buana;Buana;General Trade;-1,26916;116,825264;Yoghurt;10000
TR17988;112;13/01/2022;P6;18000;1;18000;2;31;1;Married;4,44;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;107,608238;Cashew;18000
TR23621;156;13/01/2022;P7;9400;2;18800;6;44;0;Married;3,87;Lingga;Lingga;Modern Trade;-5,135399;119,42379;Coffee Candy;9400
